linha,coluna,valor,motivo
90,vencimento,C/APRES,Data inválida — ignorada
90,data_emissao_recebimento,,Data inválida — ignorada
91,data_emissao_recebimento,,Data inválida — ignorada
92,vencimento,C/APRES,Data inválida — ignorada
92,data_emissao_recebimento,,Data inválida — ignorada
93,data_emissao_recebimento,,Data inválida — ignorada
94,data_emissao_recebimento,,Data inválida — ignorada
95,data_emissao_recebimento,,Data inválida — ignorada
96,data_emissao_recebimento,,Data inválida — ignorada
97,data_emissao_recebimento,,Data inválida — ignorada
98,vencimento,Bonificado,Data inválida — ignorada
98,data_emissao_recebimento,,Data inválida — ignorada
99,vencimento,C/APRES,Data inválida — ignorada
99,data_emissao_recebimento,,Data inválida — ignorada
100,vencimento,15DFM,Data inválida — ignorada
100,data_emissao_recebimento,,Data inválida — ignorada
101,vencimento,15DFM,Data inválida — ignorada
101,data_emissao_recebimento,,Data inválida — ignorada
102,vencimento,Ent.projeto,Data inválida — ignorada
102,data_emissao_recebimento,,Data inválida — ignorada
103,data_emissao_recebimento,,Data inválida — ignorada
104,data_emissao_recebimento,,Data inválida — ignorada
105,data_emissao_recebimento,,Data inválida — ignorada
106,data_emissao_recebimento,,Data inválida — ignorada
107,data_emissao_recebimento,,Data inválida — ignorada
108,data_emissao_recebimento,,Data inválida — ignorada
109,data_emissao_recebimento,,Data inválida — ignorada
110,data_emissao_recebimento,,Data inválida — ignorada
111,data_emissao_recebimento,,Data inválida — ignorada
112,data_emissao_recebimento,,Data inválida — ignorada
113,data_emissao_recebimento,,Data inválida — ignorada
114,data_emissao_recebimento,,Data inválida — ignorada
115,data_emissao_recebimento,,Data inválida — ignorada
116,data_emissao_recebimento,,Data inválida — ignorada
117,data_emissao_recebimento,,Data inválida — ignorada
118,data_emissao_recebimento,,Data inválida — ignorada
119,data_emissao_recebimento,,Data inválida — ignorada
120,vencimento,15DFM,Data inválida — ignorada
120,data_emissao_recebimento,,Data inválida — ignorada
121,vencimento,15DFM,Data inválida — ignorada
121,data_emissao_recebimento,,Data inválida — ignorada
122,vencimento,15DFM,Data inválida — ignorada
122,data_emissao_recebimento,,Data inválida — ignorada
123,data_emissao_recebimento,,Data inválida — ignorada
124,data_emissao_recebimento,,Data inválida — ignorada
125,data_emissao_recebimento,,Data inválida — ignorada
